batch,area,type,id,version,street,housenumber,edit,shape,flats_before,flats_after,interpolation_removed
1,Hanlon Creek,way,801612614,6,Christopher Court,8,interpolation,closed,101-107;201-207;301-308;401-408;501-508;601-608;701-708,101-107;201-207;301-308;401-408;501-508;601-608;701-708,all
1,Hanlon Creek,way,215069449,5,Edinburgh Road South,511,flats,closed,101;101A;102;201;202,101-102;101A;201-202,
1,Hanlon Creek,way,743421919,4,Gordon Street,803,flats,closed,1;10;11;12;13;14;15;2;3;4;5;6;7;8;9,1-15,
1,Hanlon Creek,way,743421918,4,Gordon Street,807,flats,closed,1;10;11;12;2;3;4;5;6;7;8;9,1-12,
1,Hanlon Creek,way,800638895,3,Gordon Street,941,flats,closed,65;66;67;68,65-68,
1,Hanlon Creek,way,800638896,3,Gordon Street,941,flats,closed,61;62;63;64,61-64,
1,Hanlon Creek,way,800638897,3,Gordon Street,941,flats,closed,57;58;59;60,57-60,
1,Hanlon Creek,way,800638898,3,Gordon Street,941,flats,closed,53;54;55;56,53-56,
1,Hanlon Creek,way,800638899,3,Gordon Street,941,flats,closed,49;50;51;52,49-52,
1,Hanlon Creek,way,800638900,3,Gordon Street,941,flats,closed,45;46;47;48,45-48,
1,Hanlon Creek,way,800638901,3,Gordon Street,941,flats,closed,41;42;43;44,41-44,
1,Hanlon Creek,way,800638902,3,Gordon Street,941,flats,closed,37;38;39;40,37-40,
1,Hanlon Creek,way,800638903,3,Gordon Street,941,flats,closed,21;22;23;24,21-24,
1,Hanlon Creek,way,800638904,3,Gordon Street,941,flats,closed,17;18;19;20,17-20,
1,Hanlon Creek,way,800638905,3,Gordon Street,941,flats,closed,13;14;15;16,13-16,
1,Hanlon Creek,way,800638906,3,Gordon Street,941,flats,closed,10;11;12;9,9-12,
1,Hanlon Creek,way,800638907,3,Gordon Street,941,flats,closed,5;6;7;8,5-8,
1,Hanlon Creek,way,800638908,3,Gordon Street,941,flats,closed,1;2;3;4,1-4,
1,Hanlon Creek,way,800638909,3,Gordon Street,941,flats,closed,33;34;35;36,33-36,
