type,id,street,housenumber,flats,interpolation,shape,area,reason
way,145333064,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145333071,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333080,,,,odd,open2,University,interpolation-live
way,145333088,,,,odd,open2,Non-Residential - C,interpolation-live
way,145333111,,,,even,open2,Old University,interpolation-live
way,145333115,,,,odd,open2,Clairfields,interpolation-live
way,145333140,,,,odd,open2,University,interpolation-live
way,145333141,,,,even,open2,Hanlon Creek,interpolation-live
way,145333155,,,,odd,open2,Old University,interpolation-live
way,145333168,,,,even,open2,University,interpolation-live
way,145333169,,,,even,open2,Old University,interpolation-live
way,145333171,,,,even,open2,Old University,interpolation-live
way,145333195,,,,even,open2,Old University,interpolation-live
way,145333204,,,,even,open2,Hanlon Creek,interpolation-live
way,145333207,,,,odd,openN,Old University,interpolation-multinode
way,145333253,,,,even,open2,University,interpolation-live
way,145333256,,,,even,open2,Old University,interpolation-live
way,145333283,,,,even,open2,Hales Barton,interpolation-live
way,145333289,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333292,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333314,,,,even,open2,Old University,interpolation-live
way,145333331,,,,even,open2,Old University,interpolation-live
way,145333411,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333420,,,,even,openN,University,interpolation-multinode
way,145333422,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333460,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333479,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333485,,,,odd,open2,Non-Residential - C,interpolation-live
way,145333494,,,,odd,open2,University,interpolation-live
way,145333497,,,,even,openN,Hales Barton,interpolation-multinode
way,145333674,,,,even,open2,Hanlon Creek,interpolation-live
way,145333686,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333688,,,,even,open2,University,interpolation-live
way,145333689,,,,even,open2,Hanlon Creek,interpolation-live
way,145333710,,,,even,open2,Hanlon Creek,interpolation-live
way,145333729,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333735,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333740,,,,even,open2,Old University,interpolation-live
way,145333797,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145333801,,,,even,open2,Old University,interpolation-live
way,145333812,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145333820,,,,even,open2,Hanlon Creek,interpolation-live
way,145333839,,,,odd,open2,Old University,interpolation-live
way,145333875,,,,even,open2,Old University,interpolation-live
way,145333882,,,,odd,open2,University,interpolation-live
way,145333894,,,,even,open2,Old University,interpolation-live
way,145333896,,,,odd,open2,Old University,interpolation-live
way,145333927,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333955,,,,odd,open2,Old University,interpolation-live
way,145333962,,,,even,open2,Hales Barton,interpolation-live
way,145333964,,,,odd,open2,Old University,interpolation-live
way,145333969,,,,even,open2,Hanlon Creek,interpolation-live
way,145333983,,,,even,open2,Hanlon Creek,interpolation-live
way,145333990,,,,odd,open2,Old University,interpolation-live
way,145334032,,,,even,open2,Old University,interpolation-live
way,145334033,,,,even,openN,University,interpolation-multinode
way,145334072,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145334084,,,,odd,open2,Clairfields,interpolation-live
way,145334153,,,,even,open2,University,interpolation-live
way,145334228,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334250,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334254,,,,odd,openN,Clairfields,interpolation-multinode
way,145334267,,,,odd,openN,University,interpolation-multinode
way,145334311,,,,odd,openN,Old University,interpolation-multinode
way,145334332,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334400,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334438,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334442,,,,odd,openN,University,interpolation-multinode
way,145334444,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334489,,,,even,openN,University,interpolation-multinode
way,145334498,,,,even,openN,Old University,interpolation-multinode
way,145334545,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334556,,,,odd,openN,Clairfields,interpolation-multinode
way,145334572,,,,odd,open2,University,interpolation-live
way,145334592,,,,even,openN,Old University,interpolation-multinode
way,145334606,,,,even,openN,University,interpolation-multinode
way,145334619,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334627,,,,odd,openN,University,interpolation-multinode
way,145334836,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334837,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334917,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334919,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145335003,,,,even,openN,Old University,interpolation-multinode
way,145335021,,,,odd,openN,Old University,interpolation-multinode
way,177606350,,,,odd,open2,Grange Hill East,interpolation-live
way,177606355,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606379,,,,even,open2,Grange Hill East,interpolation-live
way,177606385,,,,even,open2,Grange Hill East,interpolation-live
way,177606402,,,,odd,open2,Two Rivers,interpolation-live
way,177606420,,,,odd,open2,Two Rivers,interpolation-live
way,177606463,,,,even,open2,University,interpolation-live
way,177606486,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606541,,,,odd,open2,Old University,interpolation-live
way,177606545,,,,even,openN,Non-Residential - B,interpolation-multinode
