type,id,street,housenumber,unit,area,evidence
way,929589725,Arthur Street North,137-B;139-A;137-A;137,,St. Georges Parkway,2 distinct civic numbers on one object
way,878039609,Bagot Street,100;102;94;96-A;96;98,,Onward Willow,5 distinct civic numbers on one object
way,878039886,Bagot Street,66;68;66-B;66-A,,Onward Willow,2 distinct civic numbers on one object
way,932284687,Emma Street,103;105;107-B;107-A,,Waverley,3 distinct civic numbers on one object
way,1349071737,London Road West,240-57;240-56,56;57,Exhibition Park,"City lists units ['1', '10', '100', '101', '102', '103', '104', '105', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '6', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '7', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '8', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '9', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99'] at 240 London Road West; OSM claims ['56', '56;57', '57'] — not corroborated"
way,925437731,Oxford Street,22;22-C;22-B;24;22-A;26,,Exhibition Park,3 distinct civic numbers on one object
way,925437770,Paisley Street,111;109;111-B,,Exhibition Park,2 distinct civic numbers on one object
way,925437875,Paisley Street,118-A;118;120,,Exhibition Park,2 distinct civic numbers on one object
way,1084055678,Palermo Crescent,32-34,,Grange Hill East,"reads as the span 32-34, but the City has no 32 Palermo Crescent"
way,929108639,Regent Street,32;34;36;38;40;42;44;44-B;46;,,St. Georges Parkway,8 distinct civic numbers on one object
way,926071754,Woolwich Street,430-A;430;432-A;432,,Exhibition Park,2 distinct civic numbers on one object
way,1087109448,York Road,299-301,,Two Rivers,"reads as the span 299-301, but the City has no 301 York Road"
