batch,area,type,id,version,street,housenumber,before_unit,after_flats,class
1,Non-Residential - C,way,287908449,3,Goodwin Drive,37,101-113;201-214;301-314;401-414;,101-113;201-214;301-314;401-414;,safe
1,Non-Residential - C,way,287908442,3,Goodwin Drive,39,101-111;201-212;301-312;401-412;,101-111;201-212;301-312;401-412;,safe
1,Non-Residential - C,way,287908447,3,Goodwin Drive,41,101-111;201-212;301-312;401-412;,101-111;201-212;301-312;401-412;,safe
1,Non-Residential - C,way,287908444,3,Goodwin Drive,43,101-113;201-214;301-314;401-414;,101-113;201-214;301-314;401-414;,safe
1,Non-Residential - C,way,287908445,3,Goodwin Drive,45,101-111;201-212;301-312;401-412;,101-111;201-212;301-312;401-412;,safe
1,Non-Residential - C,way,862511297,7,Gordon Street,1878,101-116;201-215;301-314;401-414;501-514;601-614;701-714;801-814;901-914;1001-1014;1101-1114;1201-1206;1301-1305;1401-1404;,101-116;201-215;301-314;401-414;501-514;601-614;701-714;801-814;901-914;1001-1014;1101-1114;1201-1206;1301-1305;1401-1404;,safe
1,Non-Residential - C,way,862511298,7,Gordon Street,1880,101-115;201-215;301-314;401-414;501-514;601-614;701-714;801-814;901-914;1001-1014;1101-1114;1201-1206;1301-1306;1401-1404;,101-115;201-215;301-314;401-414;501-514;601-614;701-714;801-814;901-914;1001-1014;1101-1114;1201-1206;1301-1306;1401-1404;,safe
1,Non-Residential - C,node,13241233182,1,Gordon Street,1882,101-115;201-209;301-312;401-412;501-512;601-612;701-712;801-805;,101-115;201-209;301-312;401-412;501-512;601-612;701-712;801-805;,safe
1,Non-Residential - C,node,13241233183,1,Gordon Street,1884,101-114;201-214;301-312;401-412;501-512;601-612;701-712;801-805;,101-114;201-214;301-312;401-412;501-512;601-612;701-712;801-805;,safe
1,Non-Residential - C,way,961839908,3,Gordon Street,1886,101;102;201;202,101;102;201;202,safe
1,Non-Residential - C,way,900493343,3,Kay Crescent,17,101-111;201-212;301-312;401-412;,101-111;201-212;301-312;401-412;,safe
1,Non-Residential - C,way,900493342,3,Kay Crescent,25,101-114;201-214;301-314;401-414;LL02;LL04;LL06;LL08;LL10;LL12;LL14;,101-114;201-214;301-314;401-414;LL02;LL04;LL06;LL08;LL10;LL12;LL14;,safe
1,Non-Residential - C,way,1443052881,1,Kay Crescent,39,32;33,32;33,safe
1,Non-Residential - C,way,1443052882,1,Kay Crescent,39,34;35,34;35,safe
1,Non-Residential - C,way,1443052883,1,Kay Crescent,39,36;37,36;37,safe
1,Non-Residential - C,way,1443052884,1,Kay Crescent,39,46;47,46;47,safe
1,Non-Residential - C,way,1443052885,1,Kay Crescent,39,44;45,44;45,safe
1,Non-Residential - C,way,1443052886,1,Kay Crescent,39,42;43,42;43,safe
1,Non-Residential - C,way,802540386,3,Kay Crescent,39,12;13;14;15;16;17;18;19;20;21,12;13;14;15;16;17;18;19;20;21,safe
1,Non-Residential - C,way,802540388,3,Kay Crescent,39,38;39,38;39,safe
1,Non-Residential - C,way,802540389,3,Kay Crescent,39,40;41,40;41,safe
1,Non-Residential - C,way,741807532,4,Kay Crescent,7,101-113;201-215;301-315;401-415;501-515;601-615;LL01-LL06;,101-113;201-215;301-315;401-415;501-515;601-615;LL01-LL06;,safe
2,University,way,212563853,4,Chancellors Way,245,101-108;201-208;301-316,101-108;201-208;301-316,safe
2,University,way,802817805,3,Gordon Street,220,11;12;14;15;16;17;21;22;23;24;25;26;31;32;33;34;35;36,11;12;14;15;16;17;21;22;23;24;25;26;31;32;33;34;35;36,safe
3,Non-Residential - B,way,177694773,2,Taggart Street,2,2;4A;6;8,2;4A;6;8,safe
3,Non-Residential - B,way,802544817,3,Watson Parkway South,70,1;2;3;4;5;6;7;8,1;2;3;4;5;6;7;8,safe
3,Non-Residential - B,way,802544833,2,Watson Road South,3,1;2;3;8,1;2;3;8,safe
3,Non-Residential - B,way,1054125923,2,York Road,561,1;2;3;4,1;2;3;4,safe
4,Rickson Ridge,way,801555971,3,Gordon Street,1077,112-142;212-242;312-342;412-442;,112-142;212-242;312-342;412-442;,safe
