batch,file,area,objects,changeset,uploaded_at,account
1,01-non-residential-c.osm,Non-Residential - C,22,189136229,2026-09-17T00:59:36Z,skfd imports
2,02-university.osm,University,2,189136258,2026-09-17T01:01:39Z,skfd imports
3,03-non-residential-b.osm,Non-Residential - B,4,189136259,2026-09-17T01:01:47Z,skfd imports
4,04-rickson-ridge.osm,Rickson Ridge,5,189136262,2026-09-17T01:01:57Z,skfd imports
5,05-clairfields.osm,Clairfields,6,189136264,2026-09-17T01:02:08Z,skfd imports
6,06-dover-cliff.osm,Dover Cliff,6,189136344,2026-09-17T01:08:32Z,skfd imports
7,07-st-georges-parkway.osm,St. Georges Parkway,7,189136349,2026-09-17T01:08:47Z,skfd imports
8,08-two-rivers.osm,Two Rivers,8,189136359,2026-09-17T01:09:32Z,skfd imports
9,09-kortright-hills.osm,Kortright Hills,10,189136371,2026-09-17T01:11:03Z,skfd imports
10,10-hales-barton.osm,Hales Barton,12,189136374,2026-09-17T01:11:14Z,skfd imports
11,11-onward-willow.osm,Onward Willow,12,189136377,2026-09-17T01:11:26Z,skfd imports
12,12-pine-ridge-westminster-woods.osm,Pine Ridge - Westminster Woods,13,189136387,2026-09-17T01:11:52Z,skfd imports
13,13-non-residential-a.osm,Non-Residential - A,13,189136421,2026-09-17T01:14:33Z,skfd imports
14,14-june-avenue.osm,June Avenue,18,189136425,2026-09-17T01:14:58Z,skfd imports
15,15-waverley.osm,Waverley,19,189136432,2026-09-17T01:15:33Z,skfd imports
16,16-old-university.osm,Old University,24,189136434,2026-09-17T01:15:42Z,skfd imports
17,17-downtown-sunny-acres.osm,Downtown - Sunny Acres,26,189136445,2026-09-17T01:16:13Z,skfd imports
18,18-hanlon-creek.osm,Hanlon Creek,27,189136455,2026-09-17T01:16:43Z,skfd imports
19,19-grange-hill-east.osm,Grange Hill East,31,189136458,2026-09-17T01:16:57Z,skfd imports
20,20-brant.osm,Brant,32,189136517,2026-09-17T01:21:13Z,skfd imports
21,21-parkwood-gardens.osm,Parkwood Gardens,37,189136519,2026-09-17T01:21:29Z,skfd imports
22,22-exhibition-park.osm,Exhibition Park,39,189136521,2026-09-17T01:21:41Z,skfd imports
23,23-west-willow-woods.osm,West Willow Woods,74,189136527,2026-09-17T01:21:53Z,skfd imports
